year,BSi,Charcoal,TEX86
1996,-1.26,NA,0.752
1986,-1.34,NA,0.749
1976,-1.37,-0.45,0.733
1966,-1.41,-0.6,0.722
1956,-1.39,-0.78,0.72
1946,-1.45,-0.58,0.71
1937,-1.35,NA,NA
1927,-1.11,NA,NA
1918,-0.89,-0.69,0.709
1908,-0.06,-0.44,NA
1898,-0.93,-0.25,0.698
1889,-0.8,-0.77,NA
1879,0.34,-0.88,0.678
1872,1,0.29,NA
1865,1.59,1.2,0.679
1859,1.36,-0.13,NA
1852,-0.02,1.98,0.687
1845,-0.37,0.36,NA
1838,0.61,-0.47,0.698
1831,1.02,-0.05,NA
1824,-0.68,0.75,0.711
1816,1.01,0.13,NA
1809,1.56,-0.42,0.7
1802,0.38,1.85,NA
1794,1.21,0.32,0.704
1787,1.35,0.05,NA
1779,1.06,1.59,0.696
1772,-0.52,0.67,NA
1764,0.58,-0.15,0.686
1756,1.6,1.02,NA
1748,1.47,2.18,0.694
1741,1.49,1.39,NA
1733,1.05,0.05,0.7
1724,0.13,-0.38,NA
1716,1.28,-0.35,NA
1708,1.49,2.01,NA
1700,1.34,-0.26,0.691
1692,1.28,1.25,NA
1683,1.95,-0.02,0.672
1675,1.46,0.56,NA
1666,-0.35,-0.43,0.701
1658,-1.29,-0.81,NA
1649,-1.2,0.08,0.672
1640,0.38,-0.71,NA
1631,0.28,-0.73,0.688
1623,-0.2,-0.54,NA
1614,-0.44,-0.81,0.688
1605,0.34,-0.84,NA
1596,-0.53,-0.69,0.668
1586,-0.53,-0.23,NA
1577,-0.13,-0.76,0.702
1568,-1.07,-0.87,NA
1559,-1.33,-0.97,0.683
1549,-1.06,-0.97,NA
1540,-1.32,-0.89,0.685
1530,-1.28,-0.92,NA
1521,-1.31,0.66,0.697
1511,-0.06,-0.89,NA
1501,0.02,-0.7,0.678
1491,0.69,-0.53,NA
1481,1.5,-0.8,0.68
1471,1.8,0.38,NA
1461,1.61,1.15,0.674
1451,1.95,0.81,NA
1441,1.33,-0.12,0.676
1431,0.25,-0.82,NA
1420,-0.01,-0.83,0.67
1410,0.87,-0.17,NA
1400,-0.64,-0.89,0.7
1389,-1.04,-0.72,NA
1378,-1.18,-0.89,0.694
1368,-1.09,-0.51,NA
1357,-1.01,0.11,0.7
1346,-0.68,-0.47,NA
1335,-0.54,-0.47,0.715
1330,-0.71,NA,NA
1319,-0.7,NA,0.707
1308,-0.33,NA,NA
1297,-0.12,NA,0.695
1286,-0.68,NA,NA
1274,0.43,NA,0.691
1263,0.22,NA,NA
1252,-1.29,NA,0.716
1240,-1.27,NA,NA
1229,-0.86,NA,0.687
1217,-1.17,NA,NA
1205,-1.39,NA,0.698
1194,-1.3,NA,NA
1182,-1.35,NA,0.7
1170,-0.98,NA,NA
1158,-0.19,NA,0.694
1146,-0.16,NA,NA
1134,-1.14,NA,0.699
1122,-0.79,NA,NA
1110,0.24,NA,0.704
1097,0.76,NA,NA
1085,0.53,NA,0.686
1073,0.26,NA,NA
1060,-0.58,NA,0.679
1048,0.55,NA,NA
1035,-0.07,NA,0.672
1022,1.11,NA,NA
1009,0.51,NA,0.68
997,-0.05,NA,NA
984,-0.56,NA,0.695
971,-1.16,NA,NA
958,0.67,NA,0.673
945,0.12,NA,NA
931,-0.1,NA,0.676
918,1.03,NA,NA
905,0.69,NA,0.675
891,0.74,NA,NA
878,0.21,NA,0.68
864,-0.27,NA,NA
851,1.55,NA,0.681
837,3.14,NA,NA
824,1.02,NA,0.673
810,1.3,NA,NA
796,0.34,NA,0.688
782,-0.03,NA,NA
768,-0.25,NA,0.691
754,0.29,NA,NA
740,0.69,NA,0.671
725,1.25,NA,NA
711,-0.46,NA,0.697
697,-1.13,NA,NA
682,-0.5,NA,0.695
668,-0.32,NA,NA
653,0.73,NA,0.688
639,-0.01,NA,NA
624,-0.75,NA,0.701
609,-0.59,NA,NA
594,-1,NA,0.701
579,-1.25,NA,NA
565,-1.22,NA,0.71
549,-0.99,NA,NA
534,-0.93,NA,0.707
519,-1.35,NA,NA
504,-0.84,NA,0.704
